calendar-years,week-number,V4_1,administrative-geography,recorded-deaths
2012,week-12,9864,K04000001,total-registered-deaths
2012,week-13,9634,K04000001,total-registered-deaths
2012,week-14,8520,K04000001,total-registered-deaths
2012,week-15,9992,K04000001,total-registered-deaths
2012,week-16,10816,K04000001,total-registered-deaths
2012,week-17,10238,K04000001,total-registered-deaths
2012,week-18,9957,K04000001,total-registered-deaths
2012,week-19,8868,K04000001,total-registered-deaths
2012,week-20,9913,K04000001,total-registered-deaths
2012,week-21,9602,K04000001,total-registered-deaths
2012,week-22,9602,K04000001,total-registered-deaths
2012,week-23,6781,K04000001,total-registered-deaths
2012,week-24,10170,K04000001,total-registered-deaths
2012,week-25,9054,K04000001,total-registered-deaths
2012,week-26,8856,K04000001,total-registered-deaths
2012,week-27,8909,K04000001,total-registered-deaths
2012,week-28,8754,K04000001,total-registered-deaths
2012,week-29,8684,K04000001,total-registered-deaths
2012,week-30,8877,K04000001,total-registered-deaths
2012,week-31,8942,K04000001,total-registered-deaths
2012,week-32,8810,K04000001,total-registered-deaths
2012,week-33,8776,K04000001,total-registered-deaths
2012,week-34,8977,K04000001,total-registered-deaths
2012,week-35,7617,K04000001,total-registered-deaths
2012,week-36,8848,K04000001,total-registered-deaths
2012,week-37,8641,K04000001,total-registered-deaths
2012,week-38,8839,K04000001,total-registered-deaths
2012,week-39,8865,K04000001,total-registered-deaths
2012,week-40,9070,K04000001,total-registered-deaths
2012,week-41,9441,K04000001,total-registered-deaths
2012,week-42,9284,K04000001,total-registered-deaths
2012,week-43,9550,K04000001,total-registered-deaths
2012,week-44,9335,K04000001,total-registered-deaths
2012,week-45,9683,K04000001,total-registered-deaths
2012,week-46,9900,K04000001,total-registered-deaths
2012,week-47,9679,K04000001,total-registered-deaths
2012,week-48,9394,K04000001,total-registered-deaths
2012,week-49,9844,K04000001,total-registered-deaths
2012,week-50,10388,K04000001,total-registered-deaths
2012,week-51,11461,K04000001,total-registered-deaths
2012,week-52,8096,K04000001,total-registered-deaths
2013,week-1,11620,K04000001,total-registered-deaths
2013,week-2,12541,K04000001,total-registered-deaths
